OHIO STATE LEGISLATIVE DISTRICTS LOWER BY CENSUS TRACT
State,Tract,County,StateLegislativeDistrictsLower
39,000100,017,051
39,000100,063,083
39,000100,065,083
39,000100,069,081
39,000100,101,086
39,000100,113,039
39,000100,113,043
39,000100,169,001
39,000101,007,099
39,000102,007,099
39,000103,007,099
39,000110,049,024
39,000120,049,022
39,000120,049,024
39,000200,007,099
39,000200,017,051
39,000200,023,079
39,000200,061,032
39,000200,063,083
39,000200,065,083
39,000200,069,081
39,000200,081,096
39,000200,095,045
39,000200,101,086
39,000200,113,039
39,000200,113,043
39,000200,169,001
39,000210,049,022
39,000220,049,022
39,000300,007,099
39,000300,017,051
39,000300,023,079
39,000300,063,083
39,000300,065,083
39,000300,069,081
39,000300,095,045
39,000300,101,086
39,000300,113,039
39,000300,113,043
39,000300,169,001
39,000310,049,022
39,000310,049,025
39,000320,049,022
39,000330,049,025
39,000400,007,099
39,000400,017,051
39,000400,023,079
39,000400,063,083
39,000400,065,083
39,000400,069,081
39,000400,081,096
39,000400,095,045
39,000400,101,086
39,000400,113,039
39,000400,139,002
39,000410,049,022
39,000420,049,022
39,000420,049,025
39,000500,007,099
39,000500,017,051
39,000500,017,052
39,000500,023,079
39,000500,049,018
39,000500,049,022
39,000500,049,025
39,000500,063,083
39,000500,065,083
39,000500,069,081
39,000500,113,039
39,000500,113,043
39,000500,139,002
39,000500,169,001
39,000501,101,086
39,000502,101,086
39,000600,017,051
39,000600,017,052
39,000600,023,079
39,000600,049,018
39,000600,049,025
39,000600,063,083
39,000600,065,083
39,000600,069,081
39,000600,081,096
39,000600,095,045
39,000600,101,086
39,000600,113,039
39,000600,139,002
39,000600,169,001
39,000601,007,099
39,000602,007,099
39,000603,007,099
39,000700,023,079
39,000700,061,032
39,000700,063,083
39,000700,065,083
39,000700,069,081
39,000700,095,044
39,000700,095,045
39,000700,101,086
39,000700,113,039
39,000700,139,002
39,000700,169,001
39,000701,007,099
39,000702,007,099
39,000703,007,099
39,000704,007,099
39,000710,049,025
39,000720,049,025
39,000730,049,025
39,000800,063,083
39,000800,081,096
39,000800,095,044
39,000800,095,045
39,000800,101,086
39,000800,139,002
39,000800,169,001
39,000801,007,099
39,000801,113,039
39,000801,113,043
39,000802,007,099
39,000802,113,039
39,000810,049,025
39,000820,049,025
39,000900,007,099
39,000900,061,032
39,000900,063,083
39,000900,095,044
39,000900,095,045
39,000900,101,086
39,000900,113,039
39,000900,139,002
39,000900,169,001
39,000901,023,079
39,000902,023,079
39,000910,049,025
39,000920,049,025
39,001000,023,079
39,001000,049,018
39,001000,049,025
39,001000,061,032
39,001000,063,083
39,001000,081,096
39,001000,095,044
39,001000,101,086
39,001000,113,039
39,001000,139,002
39,001000,169,001
39,001001,007,099
39,001001,017,051
39,001001,017,053
39,001002,007,099
39,001002,017,051
39,001002,017,053
39,001100,017,051
39,001100,061,032
39,001100,063,083
39,001100,095,044
39,001100,095,045
39,001100,101,086
39,001100,113,039
39,001100,113,043
39,001100,139,002
39,001100,169,001
39,001101,007,099
39,001101,023,079
39,001102,007,099
39,001102,023,079
39,001110,049,018
39,001121,049,018
39,001122,049,018
39,001122,049,022
39,001200,007,099
39,001200,023,079
39,001200,049,018
39,001200,063,083
39,001200,081,096
39,001200,113,039
39,001200,139,002
39,001200,169,001
39,001201,095,044
39,001201,095,045
39,001202,095,044
39,001202,095,045
39,001300,017,051
39,001300,023,079
39,001300,049,018
39,001300,049,025
39,001300,063,083
39,001300,081,096
39,001300,139,002
39,001300,169,001
39,001301,007,064
39,001301,007,099
39,001301,095,044
39,001302,007,064
39,001302,007,099
39,001302,095,044
39,001303,095,044
39,001303,095,045
39,001400,007,064
39,001400,007,099
39,001400,023,079
39,001400,049,018
39,001400,049,025
39,001400,081,096
39,001400,095,044
39,001400,139,002
39,001400,169,001
39,001500,023,079
39,001500,049,025
39,001500,095,044
39,001500,095,045
39,001500,139,002
39,001501,113,039
39,001600,023,079
39,001600,049,018
39,001600,061,031
39,001600,061,032
39,001600,095,044
39,001600,113,040
39,001600,113,043
39,001600,139,002
39,001700,023,079
39,001700,049,018
39,001700,061,032
39,001700,081,096
39,001700,095,044
39,001700,113,040
39,001700,139,002
39,001700,169,001
39,001800,061,032
39,001800,095,044
39,001800,113,040
39,001800,139,002
39,001800,169,001
39,001810,049,018
39,001820,049,018
39,001900,023,079
39,001900,061,032
39,001900,095,044
39,001900,113,039
39,001900,113,040
39,001900,139,002
39,001900,169,001
39,001901,049,018
39,001902,049,018
39,002000,023,079
39,002000,049,018
39,002000,061,031
39,002000,095,044
39,002000,113,040
39,002000,139,002
39,002000,169,001
39,002100,023,079
39,002100,049,018
39,002100,095,044
39,002100,145,090
39,002100,169,001
39,002101,139,002
39,002102,139,002
39,002200,023,079
39,002200,049,018
39,002200,061,032
39,002200,095,044
39,002200,113,039
39,002200,139,002
39,002200,145,090
39,002200,169,001
39,002300,049,025
39,002300,061,031
39,002300,061,032
39,002300,095,044
39,002300,113,039
39,002300,113,040
39,002300,139,002
39,002300,145,090
39,002300,169,001
39,002301,023,074
39,002400,113,039
39,002400,113,040
39,002400,139,002
39,002400,145,090
39,002400,169,001
39,002401,095,044
39,002402,095,044
39,002403,023,074
39,002403,023,079
39,002404,023,074
39,002404,023,079
39,002500,061,031
39,002500,095,044
39,002500,113,039
39,002500,113,040
39,002500,113,041
39,002500,139,002
39,002500,145,090
39,002500,169,001
39,002501,023,074
39,002501,023,079
39,002502,023,079
39,002510,049,025
39,002520,049,018
39,002520,049,025
39,002600,049,019
39,002600,049,025
39,002600,061,031
39,002600,095,044
39,002600,113,039
39,002600,139,002
39,002600,145,090
39,002601,023,079
39,002602,023,079
39,002605,023,074
39,002606,023,074
39,002606,023,079
39,002700,061,031
39,002700,095,044
39,002700,113,039
39,002700,113,041
39,002700,139,002
39,002700,145,090
39,002701,023,079
39,002702,023,079
39,002710,049,020
39,002710,049,025
39,002730,049,025
39,002740,049,025
39,002750,049,025
39,002760,049,025
39,002760,049,026
39,002770,049,026
39,002780,049,026
39,002800,023,079
39,002800,049,025
39,002800,061,032
39,002800,095,044
39,002800,113,041
39,002800,139,002
39,002800,145,090
39,002900,049,025
39,002900,061,031
39,002900,095,044
39,002900,113,039
39,002900,113,041
39,002900,139,002
39,002900,145,090
39,002901,023,079
39,002901,169,001
39,002902,023,079
39,002902,169,001
39,003000,049,018
39,003000,049,025
39,003000,061,031
39,003000,095,044
39,003000,113,039
39,003000,113,041
39,003000,145,090
39,003000,169,001
39,003001,023,079
39,003001,139,002
39,003002,023,079
39,003002,139,002
39,003100,095,044
39,003100,113,041
39,003100,139,002
39,003100,145,090
39,003100,169,001
39,003101,023,079
39,003102,023,079
39,003200,023,079
39,003200,049,017
39,003200,049,018
39,003200,061,031
39,003200,095,044
39,003200,145,090
39,003200,169,001
39,003201,113,039
39,003201,113,041
39,003300,061,031
39,003300,095,044
39,003300,113,039
39,003300,145,090
39,003300,169,001
39,003301,023,074
39,003302,023,079
39,003400,023,079
39,003400,095,044
39,003400,145,090
39,003400,169,001
39,003402,113,039
39,003403,113,039
39,003404,113,039
39,003500,095,044
39,003500,113,039
39,003500,145,090
39,003500,169,001
39,003600,049,025
39,003600,061,031
39,003600,095,044
39,003600,095,046
39,003600,145,090
39,003700,023,074
39,003700,023,079
39,003700,049,018
39,003700,049,026
39,003700,061,031
39,003700,095,044
39,003700,145,090
39,003700,169,001
39,003800,049,018
39,003800,049,026
39,003800,061,031
39,003800,061,033
39,003800,091,083
39,003800,091,085
39,003800,113,039
39,003800,145,090
39,003900,061,031
39,003900,091,083
39,003900,091,085
39,003900,095,044
39,003900,095,046
39,003900,113,039
39,003900,145,090
39,004000,049,018
39,004000,061,031
39,004000,091,083
39,004000,091,085
39,004000,095,046
39,004000,145,090
39,004100,061,031
39,004100,091,085
39,004100,113,039
39,004200,049,017
39,004200,049,018
39,004200,061,027
39,004200,091,085
39,004200,095,046
39,004200,113,039
39,004300,049,017
39,004300,049,018
39,004300,091,085
39,004300,113,039
39,004400,091,085
39,004400,095,046
39,004400,113,039
39,004500,049,017
39,004500,061,027
39,004500,091,085
39,004501,095,046
39,004503,095,046
39,004504,095,046
39,004600,091,085
39,004600,095,045
39,004600,113,039
39,004602,061,027
39,004603,061,027
39,004604,061,027
39,004605,061,027
39,004610,049,017
39,004620,049,017
39,004700,049,017
39,004700,049,018
39,004700,091,083
39,004700,091,085
39,004701,061,027
39,004701,095,045
39,004702,061,027
39,004702,095,045
39,004800,061,027
39,004800,091,085
39,004800,095,045
39,004800,095,046
39,004810,049,017
39,004820,049,017
39,004900,049,017
39,004900,049,018
39,004900,061,027
39,004900,095,045
39,004900,095,046
39,005000,049,017
39,005000,049,018
39,005000,061,031
39,005000,095,045
39,005100,049,017
39,005100,049,018
39,005100,061,031
39,005100,095,045
39,005100,095,046
39,005200,049,018
39,005200,061,031
39,005200,095,046
39,005300,049,026
39,005300,095,046
39,005301,061,031
39,005302,061,031
39,005400,061,031
39,005400,095,046
