USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
OH	39001770100	286755226	1535831	     110.717	       0.593	 38.9560042	 -83.3557407                                                                                                                     
OH	39001770200	222687010	102314	      85.980	       0.040	 38.9909749	 -83.5518337                                                                                                                      
OH	39001770300	389153870	170790	     150.253	       0.066	 38.8403307	 -83.5815269                                                                                                                      
OH	39001770400	96485498	242467	      37.253	       0.094	 38.7716214	 -83.5445111                                                                                                                       
OH	39001770500	394819808	1580106	     152.441	       0.610	 38.7507835	 -83.3646628                                                                                                                     
OH	39001770600	122307525	2534431	      47.223	       0.979	 38.7060421	 -83.5610405                                                                                                                     
OH	39003010100	20489718	231126	       7.911	       0.089	 40.8917469	 -83.8991177                                                                                                                       
OH	39003010200	180865885	729630	      69.833	       0.282	 40.8652862	 -84.0034720                                                                                                                      
OH	39003010300	74841111	305797	      28.896	       0.118	 40.8240378	 -84.1599836                                                                                                                       
OH	39003010600	146652802	2873596	      56.623	       1.110	 40.7249174	 -84.3146099                                                                                                                     
OH	39003010800	35293998	426741	      13.627	       0.165	 40.7796765	 -84.2081403                                                                                                                       
OH	39003010900	7319935	10167	       2.826	       0.004	 40.7446294	 -84.1581047                                                                                                                         
OH	39003011000	13509935	6019	       5.216	       0.002	 40.7773655	 -84.1355805                                                                                                                         
OH	39003011200	14750566	173961	       5.695	       0.067	 40.7823566	 -84.0783177                                                                                                                       
OH	39003011300	67020652	3337624	      25.877	       1.289	 40.7728631	 -84.0340979                                                                                                                      
OH	39003011400	92511401	797645	      35.719	       0.308	 40.7810576	 -83.9205969                                                                                                                       
OH	39003011500	93214149	354450	      35.990	       0.137	 40.6955180	 -83.9280532                                                                                                                       
OH	39003011600	83456368	183179	      32.223	       0.071	 40.6751125	 -84.0414238                                                                                                                       
OH	39003011800	9737768	275186	       3.760	       0.106	 40.7187870	 -84.1451480                                                                                                                        
OH	39003011900	20893254	145836	       8.067	       0.056	 40.6841495	 -84.1343291                                                                                                                       
OH	39003012000	6950537	119803	       2.684	       0.046	 40.7070395	 -84.1683471                                                                                                                        
OH	39003012100	35201968	218896	      13.592	       0.085	 40.6822427	 -84.1973201                                                                                                                       
OH	39003012200	1956550	7022	       0.755	       0.003	 40.7647074	 -84.1169163                                                                                                                          
OH	39003012300	2021972	0	       0.781	       0.000	 40.7531921	 -84.1170540                                                                                                                             
OH	39003012400	1973023	9711	       0.762	       0.004	 40.7582635	 -84.1040908                                                                                                                          
OH	39003012600	2071512	162082	       0.800	       0.063	 40.7390385	 -84.0838425                                                                                                                        
OH	39003012700	926345	17809	       0.358	       0.007	 40.7336078	 -84.0945137                                                                                                                          
OH	39003012900	824393	0	       0.318	       0.000	 40.7440996	 -84.1194763                                                                                                                              
OH	39003013000	2608815	0	       1.007	       0.000	 40.7491913	 -84.1356594                                                                                                                             
OH	39003013100	1510795	0	       0.583	       0.000	 40.7388170	 -84.1421507                                                                                                                             
OH	39003013200	1045377	8168	       0.404	       0.003	 40.7363542	 -84.1316868                                                                                                                          
OH	39003013300	879197	1660	       0.339	       0.001	 40.7337390	 -84.1216379                                                                                                                           
OH	39003013400	2073208	82227	       0.800	       0.032	 40.7282394	 -84.1114506                                                                                                                         
OH	39003013600	1410035	136278	       0.544	       0.053	 40.7262946	 -84.0881040                                                                                                                        
OH	39003013700	1373627	9539	       0.530	       0.004	 40.7222688	 -84.0875228                                                                                                                          
OH	39003013800	6612746	37282	       2.553	       0.014	 40.7131287	 -84.0934238                                                                                                                         
OH	39003013900	69531674	210941	      26.846	       0.081	 40.7960827	 -84.3058099                                                                                                                       
OH	39003014000	40208162	290855	      15.524	       0.112	 40.8376849	 -84.2676026                                                                                                                       
OH	39003014100	2732615	102934	       1.055	       0.040	 40.7453548	 -84.1005400                                                                                                                        
OH	39005970100	222493459	1852563	      85.905	       0.715	 40.9553081	 -82.2047465                                                                                                                     
OH	39005970200	231528902	1572049	      89.394	       0.607	 40.9855738	 -82.3460413                                                                                                                     
OH	39005970300	28731224	134546	      11.093	       0.052	 40.8839500	 -82.3699615                                                                                                                       
OH	39005970400	21094780	260712	       8.145	       0.101	 40.8907599	 -82.2876631                                                                                                                       
OH	39005970500	1477721	0	       0.571	       0.000	 40.8646134	 -82.3121958                                                                                                                             
OH	39005970600	28307777	75049	      10.930	       0.029	 40.8442366	 -82.3821850                                                                                                                        
OH	39005970700	45948701	253518	      17.741	       0.098	 40.8253111	 -82.3368058                                                                                                                       
OH	39005970800	36132684	115985	      13.951	       0.045	 40.8432735	 -82.2701270                                                                                                                       
OH	39005970900	222770876	634132	      86.012	       0.245	 40.7616465	 -82.1915107                                                                                                                      
OH	39005971000	162473480	4632579	      62.731	       1.789	 40.7359178	 -82.3043778                                                                                                                     
OH	39005971100	94478326	437952	      36.478	       0.169	 40.6088843	 -82.3152852                                                                                                                       
OH	39007000101	28804003	3721914	      11.121	       1.437	 41.9245480	 -80.5987501                                                                                                                      
OH	39007000102	5316408	1447391	       2.053	       0.559	 41.9581574	 -80.5589660                                                                                                                       
OH	39007000103	3587174	0	       1.385	       0.000	 41.9414505	 -80.5691543                                                                                                                             
OH	39007000200	46604892	4108239	      17.994	       1.586	 41.9107163	 -80.6588177                                                                                                                      
OH	39007000300	37503333	2682951	      14.480	       1.036	 41.8881299	 -80.7366176                                                                                                                      
OH	39007000400	4312019	1065806	       1.665	       0.412	 41.8977949	 -80.7889118                                                                                                                       
