,,,,,President,,,,,,,,,,,,,U.S. Senator,,,U.S. House of Representatives - District 01 ,,,,U.S. House of Representatives - District 02 ,,U.S. House of Representatives - District 03 ,,,,,U.S. House of Representatives - District 04 ,,,U.S. House of Representatives - District 05,,,U.S. House of Representatives - District 06,,U.S. House of Representatives - District 07,,U.S. House of Representatives - District 08,,U.S. House of Representatives - District 09 ,,,U.S. House of Representatives - District 10 ,,,U.S. House of Representatives - District 11,U.S. House of Representatives - District 12,,U.S. House of Representatives - District 13,,U.S. House of Representatives - District 14 ,,,,,,,U.S. House of Representatives - District 15,,U.S. House of Representatives - District 16,,,State Senate - District 02 ,,State Senate - District 04 ,State Senate - District 06 ,,State Senate - District 08 ,,State Senate - District 10 ,,State Senate - District 12 ,,State Senate - District 14 ,State Senate - District 16 ,,State Senate - District 18 ,,State Senate - District 20,,State Senate - District 22 ,,State Senate - District 24 ,,State Senate - District 26 ,,State Senate - District 28 ,,State Senate - District 30 ,,State Senate - District 32 ,,State House of Representatives - District 01 ,,State House of Representatives - District 02 ,,State House of Representatives -        District 03 ,,,State House of Representatives - District 04 ,,State House of Representatives - District 05 ,,State House of Representatives - District 06 ,,State House of Representatives - District 07 ,,State House of Representatives - District 08 ,,State House of Representatives - District 09 ,State House of Representatives - District 10 ,State House of Representatives - District 11 ,State House of Representatives - District 12 ,State House of Representatives - District 13 ,,State House of Representatives - District 14 ,,State House of Representatives -                                           District 15 ,,,State House of Representatives - District 16 ,,State House of Representatives - District 17 ,,State House of Representatives - District 18 ,,State House of Representatives - District 19 ,,State House of Representatives - District 20 ,,State House of Representatives - District 21 ,,State House of Representatives - District 22 ,,State House of Representatives - District 23 ,,State House of Representatives -                        District 24 ,,,State House of Representatives - District 25 ,,State House of Representatives - District 26 ,,State House of Representatives - District 27 ,,State House of Representatives -     District 28 ,,,State House of Representatives - District 29 ,,State House of Representatives - District 30 ,,State House of Representatives - District 31 ,,State House of Representatives - District 32 ,,State House of Representatives - District 33 ,,State House of Representatives - District 34 ,,State House of Representatives - District 35 ,,State House of Representatives - District 36 ,,State House of Representatives - District 37 ,,State House of Representatives - District 38 ,,State House of Representatives - District 39 ,,State House of Representatives - District 40 ,,State House of Representatives - District 41 ,,State House of Representatives - District 42 ,,State House of Representatives - District 43 ,,State House of Representatives - District 44 ,State House of Representatives - District 45 ,State House of Representatives - District 46 ,,State House of Representatives - District 47 ,,State House of Representatives -                   District 48 ,,,State House of Representatives - District 49 ,,State House of Representatives - District 50 ,,State House of Representatives - District 51 ,,State House of Representatives -                          District 52 ,,,State House of Representatives - District 53 ,,State House of Representatives - District 54 ,State House of Representatives - District 55 ,,State House of Representatives - District 56 ,State House of Representatives -                District 57 ,,,State House of Representatives - District 58 ,State House of Representatives - District 59 ,,State House of Representatives - District 60 ,,State House of Representatives -     District 61 ,,State House of Representatives - District 62 ,,State House of Representatives - District 63 ,,State House of Representatives - District 64 ,,State House of Representatives - District 65 ,,State House of Representatives - District 66 ,,State House of Representatives - District 67 ,,State House of Representatives - District 68 ,,State House of Representatives - District 69 ,,State House of Representatives - District 70 ,,State House of Representatives - District 71 ,,State House of Representatives - District 72 ,,State House of Representatives - District 73 ,,State House of Representatives - District 74 ,,State House of Representatives - District 75 ,,State House of Representatives - District 76 ,,State House of Representatives - District 77 ,,State House of Representatives - District 78 ,,State House of Representatives - District 79 ,,State House of Representatives - District 80 ,,State House of Representatives - District 81 ,,State House of Representatives - District 82 ,,State House of Representatives - District 83 ,,State House of Representatives - District 84 ,,State House of Representatives - District 85 ,State House of Representatives - District 86 ,,State House of Representatives - District 87 ,,State House of Representatives -       District 88 ,,State House of Representatives - District 89 ,,State House of Representatives - District 90 ,,State House of Representatives - District 91 ,,State House of Representatives - District 92 ,,State House of Representatives - District 93 ,,State House of Representatives - District 94 ,,State House of Representatives - District 95 ,,State House of Representatives - District 96 ,State House of Representatives - District 97 ,,State House of Representatives - District 98 ,,State House of Representatives - District 99 ,,,,,,,,State Issue 1,,State Issue 2,,,,,,,,,,,,
,,,,,Stewart Alexander,Susan Daniels,Richard Duncan,Virgil Goode,Gary Johnson,Nelson Keyton,Barack Obama,Jill Reed,Platt Robertson,Mitt Romney,Jill Stein,Randall Terry,Mike Vargo ,Sherrod Brown,Josh Mandel,Scott Rupert ,Jim Berns,Steve Chabot,Jeff Sinnard,Rich Stevenson ,William Smith,Brad Wenstrup ,Joyce Beatty,Jeff Brown,Richard Ehrbar,Bob Fitrakis,Chris Long ,Jim Jordan,Chris Kalla,Jim Slone ,Eric Eberly,Bob Latta,Angela Zimmann ,Bill Johnson,Charlie Wilson ,Bob Gibbs,Joyce Healy-Abrams ,John Boehner,James Condit ,Marcy Kaptur,Sean Stipe,Samuel Wurzelbacher ,David Harlow,Sharen Neuhardt,Mike Turner ,Marcia Fudge ,Jim Reese,Pat Tiberi ,Marisha Agana,Tim Ryan ,Dale Blanchard,David Joyce,David Macko,Elaine Mastromatteo,Erick Robinson,Steven Winfield,Aaron Zurbrugg ,Pat Lang,Steve Stivers ,Jim Renacci,Betty Sutton ,Cliff Hite ,Jeff Bretz,Randy Gardner ,Bill Coley ,Peggy Lehner,Rick McKiddy ,Richard Luken,William Seitz ,Jeff Robertson,Chris Widener ,Keith Faber,Paul Hinds ,Joe Uecker ,Jim Hughes ,Bob Peterson ,John Eklund,Jim Mueller,Troy Balderson,Teresa Scarmack ,Larry Obhof,James Riley ,Jennifer Brady,Thomas Patton ,Tanyce Addison,Dave Burke ,Robert Roush,Thomas Sawyer ,Lou Gentile,Shane Thompson ,Capri Cafaro,Nancy McArthur ,Ron Amstutz,John Maglio ,Ellen Haring,Mark Romanchuk ,Tim Brown,Nathan Eberly,Kelly Wicks ,Robert Huenke,Matt Huffman ,Nick Barborak,Craig Newbold ,Marlene Anielski,Anthony Fossaceca ,Mike Dovilla,Matt Patten ,Armond Budish,Tony Hocevar ,Barbara Boyd ,Bill Patmon ,Sandra Williams ,John Barnes ,Nickie Antonio,John Zappala ,Richard Cyngier,Mike Foley ,John Butchko,Nicholas Celebrezze,Patricia Gascoyne ,Nan Baker,Andrew Meyer ,Mike Curtin,Nicholas Szabo ,Bill Colgan,Michael Stinziano ,Anne Gonzales,Ryan Jolley ,Heather Bishoff,Nathan Burd ,Mike Duffey,Donna O'Connor ,John Carney,Andy Hall ,Cheryl Grossman,Traci Johnson ,Thomas Alban,Stephanie Kunze,Maureen Reedy ,Kevin Boyce,Seth Golding ,Joseph Healy,Tracy Heard ,Peter Stautberg,Nathan Wissman ,Connie Pillich,Robert Ryan,Mike Wilson ,Louis Blessing,Hubert Brown ,Steven Newsome,Lou Terhar ,Denise Driehaus,Michael Gabbard ,Dale Mallory,Ron Mosby ,Tom Bryan,Alicia Reece ,Ronya Habash,Vernon Sykes ,Zack Milkovich,Kevin Mitchell ,Paul Colavecchio,Anthony DeVitis ,Kristina Roegner,Tom Schmida ,Michael Kaplan,Marilyn Slaby ,Fred Strahorn,Jeffrey Wellbaum ,Carl Fisher,Michael Henne ,Jim Butler,Caroline Gentry ,Terry Blair,Aaron Buczkowski ,Joyce Deitering,Roland Winburn ,Michael Ashford ,Teresa Fedor ,Dave Kissinger,Matthew Szollosi ,Jeff Bunck,Barbara Sears ,John Deagan,Kirk Schuring,Amanda Trump ,Monique Moore,Stephen Slesnick ,Christina Hagan,Sue Ryan ,Mark Hardig,Wes Retherford ,Margaret Conditt,Robert Coogan,Branden Rudie ,Timothy Derickson,Suzi Rubin ,Peter Beck ,Rae Brady,Matthew Lundy ,Daniel Ramos ,Terry Boose,Matthew Lark,Robert Sherwin ,Robert Hagan ,Ronald Gerberry,Kimberly Poma ,Lori Dinallo,John Rogers ,Susan McGuinness,Ron Young ,Mike Kassalen,Ron Maag ,Sean O'Brien,Pat Paridon ,Randy Law,Tom Letson ,John Becker,Steve Myers ,Doug Green,Ken McNeely ,Andrew Brenner,David Hogan ,Margaret Ruhl,John Ryerson ,William Batchelder,Judith Cross ,Dave Hall,Steve Johnson ,Jay Hottinger,Brady Jones ,David Dilly,Bill Hayes ,Bill Conner,Rick Perales ,Robert Hackett,Steve Key ,Kathleen Clyde,Nick Skeriotis ,Matt Lynch,Tom Warren ,Kelly Bryant,Gerald Stebelton ,Ron Hood,Jeremy VanMeter ,David Herier,Ross McGregor ,Richard Adams,Dave Fisher ,John Vanover,Lynn Wachtmann ,Tony Burkley,Pete Schlegel ,John Kostyo,Robert Sprague ,Jim Buchy,Ronald Hammons ,John Adams ,Cheryl Johncox,Dorothy Pelanda ,Jeffrey Lehart,Jeff McClain ,Rex Damschroder,Bill Young ,Donald Janik,Chris Redfern ,John Haas,Terry Johnson ,Peter Pence,Cliff Rosenberger ,Robert Armstrong,Gary Scherer ,Josh Bailey,Ryan Smith ,Debbie Phillips,Charles Richter ,Charlie Daniels,Andy Thompson ,Jack Cera ,Frank Fleischer,Brian Hill ,Al Landis,Joshua O'Farrell ,Casey Kozlowski,John Patterson ,Terrence O'Donnell,Michael Skindell ,Robert Cupp,William O'Neill ,Yvette Brown,Sharon Kennedy ,State Issue 1 Yes,State Issue 1 No,State Issue 2 Yes,State Issue 2 No ,,,,,,,,,,,
COUNTY,PRECINCT_CODE,PRECINCT_NAME,REGISTERED VOTERS,TOTAL VOTERS,Socialist,Write In,Independent,Constitution,Libertarian,Write In,Democratic,Write In,Write In,Republican,Green,Write In,Write In ,Democratic,Republican,Independent ,Libertarian,Republican,Democratic,Green ,Democratic,Republican ,Democratic,Write In,Libertarian,Green,Republican ,Republican,Libertarian,Democratic ,Libertarian,Republican,Democratic ,Republican,Democratic ,Republican,Democratic ,Republican,Write In ,Democratic,Libertarian,Republican ,Libertarian,Democratic,Republican ,Democratic ,Democratic,Republican ,Republican,Democratic ,Democratic,Republican,Libertarian,Green,Write In,Write In,Write In ,Democratic,Republican ,Republican,Democratic ,Republican ,Democratic,Republican ,Republican ,Republican,Democratic ,Democratic,Republican ,Democratic,Republican ,Republican,Libertarian ,Republican ,Republican ,Republican ,Republican,Democratic,Republican,Democratic ,Republican,Democratic ,Democratic,Republican ,Democratic,Republican ,Republican,Democratic ,Democratic,Republican ,Democratic,Republican ,Republican,Democratic ,Democratic,Republican ,Republican,Libertarian,Democratic ,Democratic,Republican ,Democratic,Republican ,Republican,Democratic ,Republican,Democratic ,Democratic,Republican ,Democratic ,Democratic ,Democratic ,Democratic ,Democratic,Republican ,Republican,Democratic ,Write In,Democratic,Republican ,Republican,Democratic ,Democratic,Republican ,Republican,Democratic ,Republican,Democratic ,Democratic,Republican ,Republican,Democratic ,Democratic,Republican ,Republican,Democratic ,Write In,Republican,Democratic ,Democratic,Republican ,Republican,Democratic ,Republican,Democratic ,Democratic,Libertarian,Republican ,Republican,Democratic ,Democratic,Republican ,Democratic,Republican ,Democratic,Republican ,Republican,Democratic ,Republican,Democratic ,Democratic,Republican ,Democratic,Republican ,Republican,Democratic ,Democratic,Republican ,Democratic,Republican ,Democratic,Republican ,Republican,Democratic ,Republican,Democratic ,Republican,Democratic ,Democratic ,Democratic ,Republican,Democratic ,Democratic,Republican ,Libertarian,Republican,Democratic ,Republican,Democratic ,Republican,Democratic ,Democratic,Republican ,Republican,Libertarian,Democratic ,Republican,Democratic ,Republican ,Republican,Democratic ,Democratic ,Republican,Democratic,Libertarian ,Democratic ,Democratic,Republican ,Republican,Democratic ,Democratic,Republican ,Democratic,Republican ,Democratic,Republican ,Republican,Democratic ,Republican,Democratic ,Republican,Democratic ,Republican,Democratic ,Republican,Democratic ,Republican,Democratic ,Republican,Democratic ,Republican,Democratic ,Democratic,Republican ,Democratic,Republican ,Republican,Democratic ,Democratic,Republican ,Republican,Democratic ,Democratic,Republican ,Republican,Democratic ,Democratic,Republican ,Republican,Democratic ,Democratic,Republican ,Republican,Independent ,Democratic,Republican ,Republican,Democratic ,Republican ,Democratic,Republican ,Democratic,Republican ,Republican,Democratic ,Republican,Democratic ,Democratic,Republican ,Democratic,Republican ,Democratic,Republican ,Democratic,Republican ,Democratic,Republican ,Democratic,Republican ,Democratic ,Democratic,Republican ,Republican,Democratic ,Republican,Democratic ,Non-Partisan,Non-Partisan ,Non-Partisan,Non-Partisan ,Non-Partisan,Non-Partisan ,,,,,,,,,,,,,,,
Adams,AAA,0101 BRATTON TWP,978,632,1,0,1,4,10,0,191,0,0,415,5,0,0,185,401,32,,,,,187,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,394,,,,,,,, ,,,,,,,,,,340,129,287,185,144,305,134,438,145,435,,,,,,,,,,,
Adams,AAB,0201 CEDAR MILLS,343,209,0,0,1,0,4,0,57,0,0,143,0,0,0,51,135,21,,,,,55,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,140,,,,,,,,,,,,,,,,,,103,45,90,62,33,120,35,155,38,158,,,,,,,,,,,
Adams,AAC,0301 LYNX,502,311,0,0,0,2,2,0,125,0,0,172,1,0,0,117,169,13,,,,,113,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,171,,,,,,,,,,,,,,,,,,127,74,96,113,64,141,40,225,46,219,,,,,,,,,,,
Adams,AAD,0401 LOCUST GROVE,786,522,1,0,2,2,7,0,171,0,0,328,2,0,0,168,310,18,,,,,171,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,298,,,,,,,,,,,,,,,,,,245,109,206,156,107,255,95,347,107,354,,,,,,,,,,,
Adams,AAF,0501 ROME VILLAGE,77,49,0,0,0,0,0,0,39,0,0,6,1,0,0,32,9,5,,,,,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6,,,,,,,,,,,,,,,,,,9,17,11,15,15,14,10,27,18,24,,,,,,,,,,,
Adams,AAE,0601 GREEN TWP,404,215,0,0,2,0,1,0,101,0,0,100,2,0,0,93,92,14,,,,,94,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,97,,,,,,,,,,,,,,,,,,82,45,64,76,43,90,38,137,39,139,,,,,,,,,,,
Adams,AAG,0701 CHURN CREEK,242,149,0,0,2,0,2,0,60,0,0,79,5,0,0,64,71,10,,,,,61,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,80,,,,,,,,,,,,,,,,,,67,34,53,42,31,63,38,88,32,94,,,,,,,,,,,
Adams,AAH,0801 WAMSLEY,367,199,2,0,2,1,1,0,68,0,0,119,2,0,0,71,112,12,,,,,78,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,111,,,,,,,,,,,,,,,,,,75,60,78,67,41,101,36,147,51,128,,,,,,,,,,,
